K,Inertia,Silhouette
2,9012.644725345404,0.8958167182320717
3,5439.304685942379,0.5941879366550106
4,4092.1443052542786,0.616212846765192
5,3118.284008901699,0.6165231087744963
6,2472.5745137484555,0.5963168804095496
7,2022.4126705975714,0.5164702399121812
8,1742.3695767504723,0.5174591797377505
9,1445.6303271310032,0.47773236230395444
10,1303.3922373445605,0.42714342150727336
